Composants,Fonction pour l'extraire
Année,year()
Mois,month()
Semaine,week()
Jour de l'année,yday()
Jour du mois,mday()
Jours de semaine,wday()
Heure,hour()
Minute,minute()
Seconde,second()
Fuseau horaire,tz()
